CC;KTPS;NO HT;Remote New-Order;Remote Payment;Small Relations;Threads;Warehouses;abort_cnt;cycle_detect;deadlock_cnt;debug1;debug2;debug3;debug4;debug5;dl_detect_time;dl_wait_time;latency;run_time;time_abort;time_cleanup;time_index;time_man;time_query;time_ts_alloc;time_wait;txn_cnt
NO WAIT;109.57693007080528;False;1.0;15.0;True;224;4;2219367714;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0020440000000000002;43408.861308;40870.412625;1514.951683;9.805893;2375.4975640000002;9683.193212;0.0;0.0;21234865
NO WAIT;62.23022606403433;False;1.0;15.0;True;280;4;4331484697;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004499;115346.483116;109848.33027;3380.053954;13.605329999999999;5225.910597;21362.451694;0.0;0.0;25635849
NO WAIT;1126.7275029611426;False;1.0;15.0;True;28;4;7895812;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5e-05;67.70191;50.31919;3.8772050000000005;0.9617549999999999;9.024152;51.608340999999996;0.0;0.0;2724343
NO WAIT;679.8094630709166;False;1.0;15.0;True;4;4;364;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6e-06;2.330047;0.002777;0.644278;0.215743;1.5919;0.008154;0.0;0.0;395997
NO WAIT;1268.1260286738093;False;1.0;15.0;True;56;4;28436714;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.4e-05;238.223597;199.75119899999999;8.460752000000001;1.746434;18.638145;200.36476499999998;0.0;0.0;5394599
NO WAIT;807.3915277293924;False;1.0;15.0;True;8;4;578600;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-05;7.569423;3.113653;1.140818;0.351466;2.7953240000000004;3.27188;0.0;0.0;763936
OCC;178.9510211026509;False;1.0;15.0;True;112;4;30408720;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006259999999999999;5929.333789;5649.078163;2003.4355039999998;2.427059;265.53651099999996;1.4700090000000001;7.478021000000001;0.0;9473753
OCC;151.98644595113697;False;1.0;15.0;True;168;4;55428734;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001105;15315.168043000001;14758.757505000001;4373.672118;3.560407;533.8004;2.378396;14.943423999999998;0.0;13855345
OCC;273.7715022378257;False;1.0;15.0;True;16;4;1762086;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.7999999999999994e-05;91.22515600000001;52.868837;57.693819;0.49600900000000003;35.859343;0.151227;0.341969;0.0;1560928
OCC;153.72341161441864;False;1.0;15.0;True;1;4;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.000000000000001e-06;0.650519;0.0;0.390857;0.029068;0.519521;0.0022140000000000003;0.005524;0.0;100000
OCC;132.9523040903919;False;1.0;15.0;True;224;4;88077870;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001685;31392.146985000003;30418.227712;8072.519408;4.742725;942.2979349999999;3.58606;25.604471;0.0;18632403
OCC;114.5388938824175;False;1.0;15.0;True;280;4;91263472;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002445;48187.494858;47165.209297;12255.464127;5.241969999999999;983.845266;3.776417;39.045299;0.0;19711937
OCC;257.66775596712523;False;1.0;15.0;True;28;4;5198547;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000109;293.880962;221.669914;177.430498;0.806709;67.86771;0.356487;0.797854;0.0;2704416
OCC;300.61041976545715;False;1.0;15.0;True;4;4;552;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3000000000000001e-05;5.313229;0.012686;3.5567589999999996;0.195131;4.518269;0.009771;0.041804;0.0;399303
OCC;251.59038065328681;False;1.0;15.0;True;56;4;12815830;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000223;1098.7987349999999;989.1378289999999;524.223458;1.2423899999999999;102.92872;0.752764;1.6656119999999999;0.0;4936557
OCC;296.0438147032631;False;1.0;15.0;True;8;4;326254;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7000000000000002e-05;21.217535;6.757499;13.550648;0.334054;12.960232000000001;0.052851;0.120503;0.0;785165
WAIT DIE;488.9204378467854;False;1.0;15.0;True;112;4;103715409;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000229;2479.460661;937.0783789999999;150.941853;5.298782;394.784989;334.416424;1.262343;1081.841592;10823741
WAIT DIE;373.654315209662;False;1.0;15.0;True;168;4;220159100;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00045;7274.631619;2650.931497;379.98728900000003;8.276339;983.1186720000001;744.1068769999999;2.133893;3547.34542;16179747
WAIT DIE;1008.6994403715611;False;1.0;15.0;True;16;4;2211031;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6e-05;25.048048;5.718047;2.448597;0.650867;6.028473;12.572772;0.082531;2.7253119999999997;1579122
WAIT DIE;242.54242673399645;False;1.0;15.0;True;1;4;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-06;0.41229899999999997;0.0;0.11656;0.027877;0.261179;0.005333;0.0025800000000000003;0.0;100000
WAIT DIE;293.98418545028494;False;1.0;15.0;True;224;4;359855133;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000762;16218.438881999999;5494.978844;753.4189269999999;11.586943;1921.2554989999999;1263.9112539999999;3.486132;8685.30542;21285556
WAIT DIE;198.86387806270454;False;1.0;15.0;True;280;4;580616074;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001408;36641.403913999995;11447.127659;1395.2341880000001;17.350998999999998;3558.035867;2153.461004;5.457258;21480.040928;26023756
WAIT DIE;1150.206054552508;False;1.0;15.0;True;28;4;6538083;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4e-05;67.2783;23.623082;4.606098;1.1119219999999999;11.020889;38.850609999999996;0.15673800000000002;9.453944;2763711
WAIT DIE;673.4847468898766;False;1.0;15.0;True;4;4;166;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6e-06;2.363813;0.000906;0.629895;0.216441;1.588374;0.031984;0.020066999999999998;0.00034700000000000003;397998
WAIT DIE;820.9456489430263;False;1.0;15.0;True;8;4;458767;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-05;7.700807000000001;0.265962;1.226513;0.372823;3.0908580000000003;2.46393;0.037523;0.528874;790243
