CC;KTPS;NO HT;Remote New-Order;Remote Payment;Small Relations;Threads;Warehouses;abort_cnt;cycle_detect;deadlock_cnt;debug1;debug2;debug3;debug4;debug5;dl_detect_time;dl_wait_time;latency;run_time;time_abort;time_cleanup;time_index;time_man;time_query;time_ts_alloc;time_wait;txn_cnt
OCC;1069.5686213416402;False;1.0;15.0;True;28;1024;129;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6000000000000002e-05;72.58574200000001;0.009262000000000001;36.410294;1.274345;66.698417;0.061579999999999996;0.113285;0.0;2772694
OCC;419.52823617704865;False;1.0;15.0;True;448;1024;26687;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001068;44301.393416000006;1302.1230070000001;14488.52947;28.879059;42798.0794;0.9438790000000001;1.663053;0.0;41485905
OCC;1009.5734318593512;False;1.0;15.0;True;56;1024;486;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.5e-05;305.062703;0.13173900000000002;127.72815700000001;2.34476;293.12305;0.125041;0.22466599999999998;0.0;5499700
OCC;372.1371325616359;False;1.0;15.0;True;896;1024;87988;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002408;186696.280873;18200.104455;59217.64443200001;61.62021;168080.539947;1.782218;3.142012;0.0;77540869
OCC;602.9348194040147;False;1.0;15.0;True;8;1024;8;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3000000000000001e-05;10.537139;0.000256;6.537405000000001;0.391189;8.96493;0.017181000000000002;0.033056;0.0;794151
WAIT DIE;386.1453815017403;False;1.0;15.0;True;1024;1024;294410;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002652;257324.45801;90.928925;125877.608443;91.883492;256538.78218600003;6.445147;2.628277;55.126059999999995;97035792
WAIT DIE;3217.2103318870722;False;1.0;15.0;True;112;1024;1264;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5e-05;371.719781;0.018793;170.514143;6.016336;342.181878;0.6152989999999999;0.264959;0.007345;10677685
WAIT DIE;232.0788696830731;False;1.0;15.0;True;1;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-06;0.430888;0.0;0.11729;0.029174000000000002;0.266759;0.005483;0.0022719999999999997;0.0;100000
WAIT DIE;1765.3655792445254;False;1.0;15.0;True;224;1024;7755;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000127;2665.020716;0.261363;1335.571322;13.627772;2582.0844620000003;1.191856;0.5060899999999999;0.10915799999999999;21003285
WAIT DIE;3902.7434832447143;False;1.0;15.0;True;28;1024;36;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.000000000000001e-06;19.871161999999998;0.000322;4.847269;1.6814060000000002;13.080501;0.171552;0.076673;0.000105;2769716
WAIT DIE;902.6341395680065;False;1.0;15.0;True;448;1024;65607;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000496;20984.521956;5.280145;10492.224081;36.298277;20730.696594;2.680973;1.0793059999999999;1.7746099999999998;42279790
WAIT DIE;7070.163768258006;False;1.0;15.0;True;56;1024;125;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8e-06;43.795239;0.0011970000000000001;10.750097;3.5290449999999995;28.974545000000003;0.324484;0.137998;0.00031800000000000003;5529277
WAIT DIE;440.9093665793134;False;1.0;15.0;True;896;1024;238419;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002032;172620.28622;59.307811;85112.09858600001;79.01878;171968.915091;5.70619;2.3753279999999997;30.662908;84944086
WAIT DIE;1255.681315053577;False;1.0;15.0;True;8;1024;5;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6e-06;5.025377;5.6999999999999996e-05;1.27575;0.46460100000000004;3.335576;0.045370999999999995;0.018741999999999998;8e-06;788784
DL DETECT;367.4536395562445;False;1.0;15.0;True;1024;1024;306020;124209994;0;0.0;0.0;0.0;0.0;0.0;182.199065;0.0;0.002787;269309.117938;501.41236900000007;132681.859244;484.59220199999993;267681.268211;4.975166000000001;0.0;5.61008;96639273
DL DETECT;3179.269755197495;False;1.0;15.0;True;112;1024;0;77188;0;0.0;0.0;0.0;0.0;0.0;0.079599;0.0;3.5e-05;378.51030099999997;0.0;173.061103;5.858266;347.383221;0.218023;0.0;0.083526;10744521
DL DETECT;222.93511919226148;False;1.0;15.0;True;1;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4e-06;0.448561;0.0;0.117771;0.031145999999999997;0.285611;0.002682;0.0;0.0;100000
DL DETECT;1730.6512642069697;False;1.0;15.0;True;224;1024;805;1410490;0;0.0;0.0;0.0;0.0;0.0;1.5482040000000001;0.0;0.000129;2762.656063;0.913114;1369.812849;13.634367999999998;2657.429227;0.47839799999999993;0.0;0.8605149999999999;21344617
DL DETECT;3853.0581914829068;False;1.0;15.0;True;28;1024;0;69;0;0.0;0.0;0.0;0.0;0.0;5.3e-05;0.0;7.000000000000001e-06;20.089177;0.0;5.129165;1.670454;13.385091000000001;0.055550999999999996;0.0;0.00017900000000000001;2764456
DL DETECT;891.7085757619618;False;1.0;15.0;True;448;1024;26767;16515240;0;0.0;0.0;0.0;0.0;0.0;21.905018;0.0;0.000502;21163.550587;32.761678;10493.642539;142.981481;20740.091426;1.88789;0.0;2.463325;42124374
DL DETECT;6994.935891812628;False;1.0;15.0;True;56;1024;0;264;0;0.0;0.0;0.0;0.0;0.0;0.000546;0.0;8e-06;44.321328;0.0;11.313443;3.525068;29.643531;0.12673299999999998;0.0;0.000959;5536158
DL DETECT;433.42223044294695;False;1.0;15.0;True;896;1024;210115;93810671;3;0.0;0.0;0.0;0.0;0.0;130.354732;0.0;0.0020670000000000003;175365.171801;324.694047;86976.58115;364.579174;174179.74340099999;4.1291839999999995;0.0;4.958616;84829424
DL DETECT;1224.6139916283446;False;1.0;15.0;True;8;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.000000000000001e-06;5.164331;0.0;1.3619219999999999;0.46043;3.4781940000000002;0.01581;0.0;0.0;790539
HSTORE;17769.17307910888;False;1.0;15.0;True;1024;1024;1139146;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.7999999999999994e-05;2740.1558170000003;38.383511;0.0;305.973573;433.57496900000007;1.613389;1.1925629999999998;1528.314512;47549124
HSTORE;32591.755451669338;False;1.0;15.0;True;112;1024;15743;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3e-06;34.970527000000004;0.042243;0.0;9.265063;6.401325;0.207546;0.229192;0.909452;10176347
HSTORE;589.4245448168953;False;1.0;15.0;True;1;1024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2e-06;0.169657;0.0;0.0;0.065456;0.024879;0.002738;0.002173;0.0;100000
HSTORE;43793.10807845655;False;1.0;15.0;True;224;1024;101518;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5e-06;101.28449599999999;0.347315;0.0;22.93307;28.906096;0.413654;0.43352399999999996;4.66394;19801620
HSTORE;10390.12262837396;False;1.0;15.0;True;28;1024;672;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3e-06;7.451375;0.000828;0.0;2.146689;1.210552;0.05529;0.060851999999999996;0.037211;2765025
HSTORE;30038.709940385233;False;1.0;15.0;True;448;1024;252040;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4999999999999999e-05;336.018084;2.7349419999999998;0.0;60.534649;59.773703000000005;0.474542;0.49588000000000004;100.106576;22530245
HSTORE;19049.90042777734;False;1.0;15.0;True;56;1024;2634;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3e-06;16.165653;0.004304;0.0;4.482982;2.557198;0.110796;0.126096;0.261255;5499180
HSTORE;26427.45261907461;False;1.0;15.0;True;896;1024;904010;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4e-05;1356.7332099999999;25.053604999999997;0.0;221.659471;294.757032;1.1177;0.967427;481.427745;40016744
HSTORE;3446.755308614749;False;1.0;15.0;True;8;1024;43;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2e-06;1.8228389999999999;5.9e-05;0.0;0.5155770000000001;0.321183;0.015636;0.018226;0.002287;785360
MVCC;61.089966883421454;False;1.0;15.0;True;1024;1024;38751;0;0;0.0;0.0;135431076621360.0;512693574307987.94;0.0;0.0;0.0;0.016762;658400.140055;24945.096359;2345.283177;2121.648219;625155.077084;16.535079;5.400669000000001;3985.4813130000002;39278948
MVCC;3681.294391112011;False;1.0;15.0;True;112;1024;444;0;0;0.0;0.0;145398645982.0;104806350694.0;0.0;0.0;0.0;2.9999999999999997e-05;330.470996;0.18318099999999998;15.002612;10.627119;281.901612;0.232039;0.22945300000000002;0.039799;10862152
MVCC;228.11415744895373;False;1.0;15.0;True;1;1024;0;0;0;0.0;0.0;100296130.0;93919648.0;0.0;0.0;0.0;4e-06;0.438377;0.0;0.044229000000000004;0.041593;0.28494200000000003;0.001963;0.0021260000000000003;0.0;100000
MVCC;643.0168552078338;False;1.0;15.0;True;224;1024;4312;0;0;0.0;0.0;873790371460.0;5326106914718.0;0.0;0.0;0.0;0.000348;6861.556745;28.736709;245.701489;119.51431399999998;6430.104139;0.605377;0.468102;4.862769;19696860
MVCC;3541.7133302301163;False;1.0;15.0;True;28;1024;14;0;0;0.0;0.0;4761437048.0;4818058002.0;0.0;0.0;0.0;8e-06;21.755910999999998;0.00021400000000000002;2.070455;1.807086;14.471279999999998;0.058149;0.057374;0.000173;2751900
MVCC;154.3054791091588;False;1.0;15.0;True;448;1024;14592;0;0;0.0;0.0;8562029489153.998;75560885015123.98;0.0;0.0;0.0;0.002903;86329.62664;1140.5751710000002;989.76959;549.861751;83647.219845;2.362458;1.308646;192.151658;29734675
MVCC;6137.3119729535465;False;1.0;15.0;True;56;1024;64;0;0;0.0;0.0;11781449910.0;10812746654.0;0.0;0.0;0.0;9e-06;50.120582;0.001168;4.434529;3.8961940000000004;33.920968;0.116183;0.11999800000000001;0.000575;5492958
MVCC;95.98751919356319;False;1.0;15.0;True;896;1024;30856;0;0;0.0;0.0;119577445913273.98;286594395304766.0;0.0;0.0;0.0;0.009335;411793.639299;11064.588977;1608.226848;1221.434725;396344.21832399996;10.134405000000001;4.300407;1750.202257;44115011
