Backoff;CC;Configuration;Configuration Detailed;KTPS;NO HT;Numa Distance;Remote New-Order;Remote Payment;Small Relations;Threads;Warehouses;abort_cnt;cycle_detect;deadlock_cnt;debug1;debug2;debug3;debug4;debug5;dl_detect_time;dl_wait_time;latency;neworder_cnt;run_time;time_abort;time_cleanup;time_index;time_man;time_query;time_ts_alloc;time_wait;txn_cnt
0;WAIT DIE;3;28skt-3-config-base+alloc+index+latch;2048.6654948947257;False;All;1.0;15.0;False;784;1568;116820;0;0;839513033.0;0.0;8904966120.0;0.0;8.039947;0.0;0.0;0.000383;0.0;26432.596294;2.336125;12362.26303;273.17699;25798.580363999998;6.121958;2.216137;0.6735140000000001;69070852
0;WAIT DIE;4;28skt-4-config-base+alloc+index+latch+replicate_item;15752.580926184126;False;All;1.0;15.0;False;784;1568;1711;0;0;167338107.0;0.0;14803187223.0;0.0;28.420714;0.0;0.0;5e-05;0.0;1462.291918;0.041163;27.066602000000003;41.024007;993.034984;1.8328369999999998;0.731288;0.012123;29381214
0;WAIT DIE;5;28skt-5-config-base+alloc+index+latch+replicate_item+batched_access;16740.47686846134;False;All;1.0;15.0;False;784;1568;3483;0;0;208940020.0;0.0;14107543051.0;0.0;26.889428000000002;0.0;0.0;4.7e-05;0.0;1380.8245949999998;0.075713;27.194087;27.010847;781.282138;1.850827;0.742574;0.005751;29484263
0;WAIT DIE;6;28skt-6-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat;16705.700809021924;False;All;1.0;15.0;False;784;1568;2820;0;0;140034001.0;0.0;14166045057.0;0.0;27.879469;0.0;0.0;4.7e-05;0.0;1378.092069;0.064999;29.367603999999996;27.159117;807.775993;1.8756169999999999;0.77283;0.00586;29364788
0;DL DETECT;1;28skt-1-config-base+alloc;3879.131715148157;False;All;1.0;15.0;False;784;1568;19891;5258957;0;763192254.0;0.0;18603148188.0;0.0;21.608079999999998;15.719072;0.0;0.000202;0.0;11690.606992;21.010801;4800.279256;210.539223;10523.219792;24.617987;0.0;0.7727189999999999;57843628
0;DL DETECT;2;28skt-2-config-base+alloc+index;3776.947979503785;False;All;1.0;15.0;False;784;1568;23545;6373584;0;763561446.0;0.0;17178382409.0;0.0;17.120169;18.173067;0.0;0.00020800000000000001;0.0;12852.222175;24.609873;5560.617947;219.308584;11789.8473;24.962405;0.0;0.8420350000000001;61916039
0;DL DETECT;3;28skt-3-config-base+alloc+index+latch;2212.814309512837;False;All;1.0;15.0;False;784;1568;29894;10810258;0;1301180748.0;0.0;26614366598.0;0.0;21.06508;22.176335;0.0;0.000354;0.0;24447.637595;31.727541;10895.954554;603.613206;22824.667077000002;11.792046000000001;0.0;0.9202389999999999;69002656
0;DL DETECT;4;28skt-4-config-base+alloc+index+latch+replicate_item;19549.85373202094;False;All;1.0;15.0;False;784;1568;3;15228;0;207968567.0;0.0;10631607074.0;0.0;19.325525;0.075554;0.0;4e-05;0.0;1431.844149;0.0044659999999999995;30.259913;43.229463;840.3614380000001;0.866715;0.0;0.079547;35704520
0;DL DETECT;5;28skt-5-config-base+alloc+index+latch+replicate_item+batched_access;19370.145231484923;False;All;1.0;15.0;False;784;1568;22;16884;0;213288643.0;0.0;9995230654.0;0.0;17.461154;0.10999300000000001;0.0;4e-05;0.0;1341.8082869999998;0.023269;28.455502000000003;31.326907000000002;658.7195370000001;0.751438;0.0;0.11055;33151813
0;DL DETECT;6;28skt-6-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat;19151.392822265883;False;All;1.0;15.0;False;784;1568;32;19519;0;164187233.0;0.0;10320373247.0;0.0;19.268154;0.133759;0.0;4.1e-05;0.0;1328.7973960000002;0.032723;29.755361999999998;33.755320000000005;686.243323;0.740682;0.0;0.124025;32459593
0;MVCC;1;28skt-1-config-base+alloc;847.1916801063986;False;All;1.0;15.0;False;784;1568;1286;0;0;867229050.0;0.0;1985039257889.0;12203984405558.998;57.78968199999999;0.0;0.0;0.000925;0.0;16948.022698;245.31427000000002;621.137193;756.669511;14196.097755;1.8654009999999999;1.292584;48.116279999999996;18314061
0;MVCC;2;28skt-2-config-base+alloc+index;733.8712577021165;False;All;1.0;15.0;False;784;1568;1270;0;0;850701064.0;0.0;2077051215595.0;13733483330173.0;60.60334;0.0;0.0;0.001068;0.0;18167.844962;294.289159;634.2835110000001;395.372772;15793.07738;1.869521;1.207172;57.388895999999995;17006198
0;MVCC;3;28skt-3-config-base+alloc+index+latch;761.9778102513677;False;All;1.0;15.0;False;784;1568;1256;0;0;861046122.0;0.0;1682049723407.0;14121714075302.0;43.679425;0.0;0.0;0.001029;0.0;17546.829144;314.62719500000003;384.396183;297.108883;15695.637213999998;1.0520450000000001;0.722229;64.971649;17053947
0;MVCC;4;28skt-4-config-base+alloc+index+latch+replicate_item;16405.264835727336;False;All;1.0;15.0;False;784;1568;545;0;0;202327609.0;0.0;314560235261.0;377995473267.0;9.478453;0.0;0.0;4.8e-05;0.0;1622.343648;0.04854;156.016423;49.163071;1001.730742;0.8120149999999999;0.748624;0.035098000000000004;33947675
0;MVCC;5;28skt-5-config-base+alloc+index+latch+replicate_item+batched_access;16154.152718131685;False;All;1.0;15.0;False;784;1568;530;0;0;225559624.0;0.0;364921534146.0;187398506224.0;11.947802000000001;0.0;0.0;4.9e-05;0.0;1592.746122;0.050205;144.642201;39.272331;925.9496640000001;0.8614229999999999;0.757899;0.023988;32818194
0;MVCC;6;28skt-6-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat;15854.607139369791;False;All;1.0;15.0;False;784;1568;523;0;0;165930721.0;0.0;354768786873.0;187120759126.0;10.617476;0.0;0.0;4.9e-05;0.0;1583.312076;0.048545;153.194424;39.656859999999995;922.1726869999999;0.840299;0.747039;0.021384999999999998;32018866
0;SILO;1;28skt-1-config-base+alloc;16150.279601486976;False;All;1.0;15.0;False;784;1568;1056;0;0;174379720.0;0.0;1640718433.0;0.0;1.0726200000000001;0.0;0.0;4.9e-05;0.0;1224.655683;0.600659;54.46830799999999;22.878054000000002;443.894879;0.5938979999999999;0.0;0.0;25227719
0;SILO;2;28skt-2-config-base+alloc+index;18177.55537687076;False;All;1.0;15.0;False;784;1568;959;0;0;161057345.0;0.0;1454455552.0;0.0;0.8915700000000001;0.0;0.0;4.3e-05;0.0;1000.8860060000001;1.0528520000000001;51.993646999999996;19.148288;429.594288;0.528334;0.0;0.0;23206200
0;SILO;3;28skt-3-config-base+alloc+index+latch;18049.558184694568;False;All;1.0;15.0;False;784;1568;922;0;0;172819609.0;0.0;1357204332.0;0.0;0.8719790000000001;0.0;0.0;4.3e-05;0.0;1014.300873;1.015578;51.978106;19.547010999999998;446.210842;0.522288;0.0;0.0;23351636
0;SILO;4;28skt-4-config-base+alloc+index+latch+replicate_item;18663.276647841303;False;All;1.0;15.0;False;784;1568;868;0;0;178486402.0;0.0;1677995325.0;0.0;1.135094;0.0;0.0;4.2e-05;0.0;974.1963599999999;0.7276600000000001;52.77364;20.146179999999998;437.27725499999997;0.584645;0.0;0.0;23190939
0;SILO;5;28skt-5-config-base+alloc+index+latch+replicate_item+batched_access;17268.917474400045;False;All;1.0;15.0;False;784;1568;613;0;0;172547766.0;0.0;2267640150.0;0.0;1.562948;0.0;0.0;4.5e-05;0.0;1007.622508;0.870908;132.63029699999998;18.342093;448.456455;0.700554;0.0;0.0;22194579
0;SILO;6;28skt-6-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat;17330.407036420587;False;All;1.0;15.0;False;784;1568;636;0;0;134961697.0;0.0;1614857135.0;0.0;1.012553;0.0;0.0;4.5e-05;0.0;994.589893;0.935089;129.820947;18.73041;433.601554;0.819739;0.0;0.0;21985520
0;NO WAIT;0;28skt-0-config-base-hw_clock;154.04098943417407;False;All;1.0;15.0;False;784;1568;2734;0;0;207356703.0;0.0;7537008152.0;0.0;7.120361;0.0;0.0;0.00509;0.0;208194.270303;10.318927;205.236343;63.192628000000006;1173.703462;5.4193430000000005;0.0;0.0;40906188
0;NO WAIT;8;28skt-7-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat+CC;18507.963908651298;False;All;1.0;15.0;False;784;1568;2015;0;0;122288870.0;0.0;10495326558.0;0.0;21.214776;0.0;0.0;4.2e-05;0.0;1072.536034;0.055625;12.449686;49.624788;460.091295;0.599022;0.0;0.0;25319462
0;OCC;0;28skt-0-config-base-hw_clock;140.0573801822465;False;All;1.0;15.0;False;784;1568;4384;0;0;205544730.0;0.0;6881908501.0;0.0;5.5540970000000005;0.0;0.0;0.005598;0.0;228185.626594;68.237252;714.9345599999999;37.048964;70639.135063;1.080508;1.720474;0.0;40764134
0;OCC;8;28skt-7-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat+CC;17175.3478181114;False;All;1.0;15.0;False;784;1568;1878;0;0;110548998.0;0.0;11090570365.0;0.0;20.496218;0.0;0.0;4.6e-05;0.0;1091.514825;0.519538;101.722187;52.021491;711.523293;0.540502;1.033325;0.0;23912177
0;TICTOC;0;28skt-0-config-base-hw_clock;131.34527448386226;False;All;1.0;15.0;False;784;1568;4270;0;0;235737208.0;0.0;3912922736.0;0.0;2.7350790000000003;0.0;0.0;0.0059689999999999995;0.0;242128.57488000003;59.784052;50.267522;30.987934000000003;526.865608;0.9855719999999999;0.0;0.0;40564342
0;TICTOC;8;28skt-7-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat+CC;22601.644333573648;False;All;1.0;15.0;False;784;1568;478;0;0;102130928.0;0.0;932251207.0;0.0;0.519296;0.0;0.0;3.5e-05;0.0;706.870442;0.046278;59.536463;50.884081;287.418937;0.48743800000000004;0.0;0.0;20378105
0;WAIT DIE;0;28skt-0-config-base-hw_clock;152.8573642840746;False;All;1.0;15.0;False;784;1568;1915;0;0;205335461.0;0.0;7638854575.0;0.0;7.305789;0.0;0.0;0.005129;0.0;209727.088506;3.367457;210.08621000000002;63.531564;1182.840052;2.8896669999999998;1.187354;3.966015;40890727
0;WAIT DIE;8;28skt-7-config-base+alloc+index+latch+replicate_item+batched_access+bypass_cat+CC;18290.965358536476;False;All;1.0;15.0;False;784;1568;1583;0;0;128212921.0;0.0;10381260027.0;0.0;21.467415;0.0;0.0;4.3e-05;0.0;1077.198109;0.038936;12.630788;49.920025;463.63745700000004;1.8333650000000001;0.6413770000000001;0.007201999999999999;25131369
